Date,GameType,Stakes,BuyIn,CashOut,Net
2026-01-15 00:00:00,cash,25/50,20,50,30
2026-01-17 00:00:00,cash,25/50,20,55,35
2026-01-23 00:00:00,cash,25/50,20,35,15
2026-01-25 00:00:00,cash,25/50,20,74,54
2026-01-29 00:00:00,cash,25/50,40,72,32
2026-01-31 00:00:00,cash,25/50,20,63,43
2026-02-01 00:00:00,cash,25/50,30,0,-30
2026-02-04 00:00:00,cash,25/50,40,8,-32
2026-02-08 00:00:00,cash,20/40,20,27,7
2026-02-11 00:00:00,cash,25/50,20,40,20
2026-02-13 00:00:00,cash,25/50,40,0,-40
2026-02-18 00:00:00,cash,25/50,40,12,-28
2026-02-20 00:00:00,cash,25/50,20,57,37
2026-02-21 00:00:00,cash,25/50,40,60,20
2026-02-22 00:00:00,cash,25/50,20,67,47
2026-02-25 00:00:00,cash,25/50,45,25,-20
2026-02-28 00:00:00,cash,25/50,20,50,30
2026-03-21 00:00:00,cash,25/50,20,110,90
